"datetime","Dimmer_Regulation"
2023-12-09 14:31:45,15%
2023-12-09 14:31:46,20%
2023-12-09 14:31:47,20%
2023-12-09 14:31:48,25%
2023-12-09 14:31:49,30%
2023-12-09 14:31:50,35%
2023-12-09 14:31:51,40%
2023-12-09 14:31:52,45%
2023-12-09 14:31:53,50%
2023-12-09 14:31:54,55%
2023-12-09 14:31:55,50%
2023-12-09 14:31:56,50%
2023-12-09 14:31:57,50%
2023-12-09 14:31:58,50%
2023-12-09 14:31:59,50%
2023-12-09 14:32:00,50%
2023-12-09 14:32:01,50%
2023-12-09 14:32:02,50%
2023-12-09 14:32:03,50%
2023-12-09 14:32:04,50%
2023-12-09 14:32:05,50%
2023-12-09 14:32:06,50%
2023-12-09 14:32:07,50%
2023-12-09 14:32:08,50%
2023-12-09 14:32:09,50%
2023-12-09 14:32:10,50%
2023-12-09 14:32:11,50%
2023-12-09 14:32:12,50%
2023-12-09 14:32:13,50%
2023-12-09 14:32:14,50%
2023-12-09 14:32:15,50%
2023-12-09 14:32:16,50%
2023-12-09 14:32:17,50%
2023-12-09 14:32:18,50%
2023-12-09 14:32:19,50%
2023-12-09 14:32:20,50%
2023-12-09 14:32:21,50%
2023-12-09 14:32:22,50%
2023-12-09 14:32:23,50%
2023-12-09 14:32:24,50%
2023-12-09 14:32:25,50%
2023-12-09 14:32:26,50%
2023-12-09 14:32:27,50%
2023-12-09 14:32:28,50%
2023-12-09 14:32:29,50%
2023-12-09 14:32:30,50%
2023-12-09 14:32:31,50%
2023-12-09 14:32:32,50%
2023-12-09 14:32:33,50%
2023-12-09 14:32:34,50%
2023-12-09 14:32:35,50%
2023-12-09 14:32:36,50%
2023-12-09 14:32:37,50%
2023-12-09 14:32:38,50%
2023-12-09 14:32:39,50%
2023-12-09 14:32:40,50%
2023-12-09 14:32:41,50%
2023-12-09 14:32:42,50%
2023-12-09 14:32:43,50%
2023-12-09 14:32:44,50%
2023-12-09 14:32:45,50%
2023-12-09 14:32:46,50%
2023-12-09 14:32:47,50%
2023-12-09 14:32:48,50%
2023-12-09 14:32:49,50%
2023-12-09 14:32:50,50%
2023-12-09 14:32:51,50%
2023-12-09 14:32:52,50%
2023-12-09 14:32:53,50%
2023-12-09 14:32:54,50%
2023-12-09 14:32:55,50%
2023-12-09 14:32:56,50%
2023-12-09 14:32:57,50%
2023-12-09 14:32:58,50%
2023-12-09 14:32:59,50%
2023-12-09 14:33:00,50%
2023-12-09 14:33:01,50%
2023-12-09 14:33:02,50%
2023-12-09 14:33:03,50%
2023-12-09 14:33:04,50%
2023-12-09 14:33:05,50%
2023-12-09 14:33:06,50%
2023-12-09 14:33:07,50%
2023-12-09 14:33:08,50%
2023-12-09 14:33:09,50%
2023-12-09 14:33:10,50%
2023-12-09 14:33:11,50%
2023-12-09 14:33:12,50%
2023-12-09 14:33:13,50%
2023-12-09 14:33:14,50%
2023-12-09 14:33:15,50%
2023-12-09 14:33:16,50%
2023-12-09 14:33:17,50%
2023-12-09 14:33:18,50%
2023-12-09 14:33:19,50%
2023-12-09 14:33:20,50%
2023-12-09 14:33:21,50%
2023-12-09 14:33:22,50%
2023-12-09 14:33:23,50%
2023-12-09 14:33:24,50%
2023-12-09 14:33:25,50%
2023-12-09 14:33:26,50%
2023-12-09 14:33:27,50%
2023-12-09 14:33:28,50%
2023-12-09 14:33:29,50%
2023-12-09 14:33:30,50%
2023-12-09 14:33:31,50%
2023-12-09 14:33:32,50%
2023-12-09 14:33:33,50%
2023-12-09 14:33:34,50%
2023-12-09 14:33:35,50%
2023-12-09 14:33:36,50%
2023-12-09 14:33:37,50%
2023-12-09 14:33:38,50%
2023-12-09 14:33:39,50%
2023-12-09 14:33:40,50%
2023-12-09 14:33:41,50%
2023-12-09 14:33:42,50%
2023-12-09 14:33:43,50%
2023-12-09 14:33:44,50%
2023-12-09 14:33:45,50%
2023-12-09 14:33:46,50%
2023-12-09 14:33:47,50%
2023-12-09 14:33:48,50%
2023-12-09 14:33:49,50%
2023-12-09 14:33:50,50%
2023-12-09 14:33:51,50%
2023-12-09 14:33:52,50%
2023-12-09 14:33:53,50%
2023-12-09 14:33:54,50%
2023-12-09 14:33:55,50%
2023-12-09 14:33:56,50%
2023-12-09 14:33:57,50%
2023-12-09 14:33:58,50%
2023-12-09 14:33:59,50%
2023-12-09 14:34:00,50%
2023-12-09 14:34:01,50%
2023-12-09 14:34:03,50%
2023-12-09 14:34:04,50%
2023-12-09 14:34:05,50%
2023-12-09 14:34:06,50%
2023-12-09 14:34:07,50%
2023-12-09 14:34:08,50%
2023-12-09 14:34:09,50%
2023-12-09 14:34:10,50%
2023-12-09 14:34:11,50%
2023-12-09 14:34:12,50%
2023-12-09 14:34:13,50%
2023-12-09 14:34:14,50%
2023-12-09 14:34:15,50%
2023-12-09 14:34:16,50%
2023-12-09 14:34:17,50%
2023-12-09 14:34:18,50%
2023-12-09 14:34:19,50%
2023-12-09 14:34:20,50%
2023-12-09 14:34:21,50%
2023-12-09 14:34:22,50%
2023-12-09 14:34:23,50%
2023-12-09 14:34:24,50%
2023-12-09 14:34:25,50%
2023-12-09 14:34:26,50%
2023-12-09 14:34:27,50%
2023-12-09 14:34:28,50%
2023-12-09 14:34:29,50%
2023-12-09 14:34:30,50%
2023-12-09 14:34:31,50%
2023-12-09 14:34:32,50%
2023-12-09 14:34:33,50%
2023-12-09 14:34:34,50%
2023-12-09 14:34:35,50%
2023-12-09 14:34:36,50%
2023-12-09 14:34:37,50%
2023-12-09 14:34:38,50%
2023-12-09 14:34:39,50%
2023-12-09 14:34:40,50%
2023-12-09 14:34:41,50%
2023-12-09 14:34:42,50%
2023-12-09 14:34:43,50%
2023-12-09 14:34:44,50%
2023-12-09 14:34:45,50%
2023-12-09 14:34:46,50%
2023-12-09 14:34:47,50%
2023-12-09 14:34:48,50%
2023-12-09 14:34:49,50%
2023-12-09 14:34:50,50%
2023-12-09 14:34:51,50%
2023-12-09 14:34:52,50%
2023-12-09 14:34:53,50%
2023-12-09 14:34:54,50%
2023-12-09 14:34:55,50%
2023-12-09 14:34:56,50%
2023-12-09 14:34:57,50%
2023-12-09 14:34:58,50%
2023-12-09 14:34:59,50%
2023-12-09 14:35:00,50%
2023-12-09 14:35:01,50%
2023-12-09 14:35:02,50%
2023-12-09 14:35:03,50%
2023-12-09 14:35:04,50%
2023-12-09 14:35:05,50%
2023-12-09 14:35:06,50%
