"datetime","Heater_Regulation"
2023-12-09 14:31:46,40%
2023-12-09 14:31:47,40%
2023-12-09 14:31:48,40%
2023-12-09 14:31:49,40%
2023-12-09 14:31:50,40%
2023-12-09 14:31:51,40%
2023-12-09 14:31:52,40%
2023-12-09 14:31:53,40%
2023-12-09 14:31:54,40%
2023-12-09 14:31:55,30%
2023-12-09 14:31:56,30%
2023-12-09 14:31:57,30%
2023-12-09 14:31:58,30%
2023-12-09 14:31:59,30%
2023-12-09 14:32:00,30%
2023-12-09 14:32:01,30%
2023-12-09 14:32:02,30%
2023-12-09 14:32:03,30%
2023-12-09 14:32:04,30%
2023-12-09 14:32:05,30%
2023-12-09 14:32:06,30%
2023-12-09 14:32:07,30%
2023-12-09 14:32:08,30%
2023-12-09 14:32:09,30%
2023-12-09 14:32:10,30%
2023-12-09 14:32:11,20%
2023-12-09 14:32:12,20%
2023-12-09 14:32:13,20%
2023-12-09 14:32:14,20%
2023-12-09 14:32:15,20%
2023-12-09 14:32:16,20%
2023-12-09 14:32:17,20%
2023-12-09 14:32:18,20%
2023-12-09 14:32:19,20%
2023-12-09 14:32:20,20%
2023-12-09 14:32:21,20%
2023-12-09 14:32:22,20%
2023-12-09 14:32:23,20%
2023-12-09 14:32:24,20%
2023-12-09 14:32:25,20%
2023-12-09 14:32:26,20%
2023-12-09 14:32:27,20%
2023-12-09 14:32:28,20%
2023-12-09 14:32:29,20%
2023-12-09 14:32:30,20%
2023-12-09 14:32:31,20%
2023-12-09 14:32:32,20%
2023-12-09 14:32:33,20%
2023-12-09 14:32:34,20%
2023-12-09 14:32:35,20%
2023-12-09 14:32:36,20%
2023-12-09 14:32:37,20%
2023-12-09 14:32:38,20%
2023-12-09 14:32:39,20%
2023-12-09 14:32:40,20%
2023-12-09 14:32:41,20%
2023-12-09 14:32:42,20%
2023-12-09 14:32:43,20%
2023-12-09 14:32:44,20%
2023-12-09 14:32:45,20%
2023-12-09 14:32:46,20%
2023-12-09 14:32:47,20%
2023-12-09 14:32:48,20%
2023-12-09 14:32:49,20%
2023-12-09 14:32:50,20%
2023-12-09 14:32:51,20%
2023-12-09 14:32:52,20%
2023-12-09 14:32:53,20%
2023-12-09 14:32:54,20%
2023-12-09 14:32:55,20%
2023-12-09 14:32:56,20%
2023-12-09 14:32:57,20%
2023-12-09 14:32:58,20%
2023-12-09 14:32:59,20%
2023-12-09 14:33:00,20%
2023-12-09 14:33:01,20%
2023-12-09 14:33:02,20%
2023-12-09 14:33:03,10%
2023-12-09 14:33:04,10%
2023-12-09 14:33:05,10%
2023-12-09 14:33:06,10%
2023-12-09 14:33:07,10%
2023-12-09 14:33:08,10%
2023-12-09 14:33:09,10%
2023-12-09 14:33:10,10%
2023-12-09 14:33:11,10%
2023-12-09 14:33:12,10%
2023-12-09 14:33:13,10%
2023-12-09 14:33:14,10%
2023-12-09 14:33:15,10%
2023-12-09 14:33:16,10%
2023-12-09 14:33:17,10%
2023-12-09 14:33:18,10%
2023-12-09 14:33:19,10%
2023-12-09 14:33:20,10%
2023-12-09 14:33:21,10%
2023-12-09 14:33:22,10%
2023-12-09 14:33:23,10%
2023-12-09 14:33:24,10%
2023-12-09 14:33:25,10%
2023-12-09 14:33:27,10%
2023-12-09 14:33:28,10%
2023-12-09 14:33:29,10%
2023-12-09 14:33:30,10%
2023-12-09 14:33:31,10%
2023-12-09 14:33:32,10%
2023-12-09 14:33:33,10%
2023-12-09 14:33:34,10%
2023-12-09 14:33:35,10%
2023-12-09 14:33:36,10%
2023-12-09 14:33:37,10%
2023-12-09 14:33:38,10%
2023-12-09 14:33:39,10%
2023-12-09 14:33:40,10%
2023-12-09 14:33:41,10%
2023-12-09 14:33:42,10%
2023-12-09 14:33:43,10%
2023-12-09 14:33:44,10%
2023-12-09 14:33:45,10%
2023-12-09 14:33:46,10%
2023-12-09 14:33:47,10%
2023-12-09 14:33:48,10%
2023-12-09 14:33:49,10%
2023-12-09 14:33:50,10%
2023-12-09 14:33:51,10%
2023-12-09 14:33:52,10%
2023-12-09 14:33:53,10%
2023-12-09 14:33:54,10%
2023-12-09 14:33:55,10%
2023-12-09 14:33:56,10%
2023-12-09 14:33:57,10%
2023-12-09 14:33:58,10%
2023-12-09 14:33:59,10%
2023-12-09 14:34:00,10%
2023-12-09 14:34:01,10%
2023-12-09 14:34:02,10%
2023-12-09 14:34:03,10%
2023-12-09 14:34:04,10%
2023-12-09 14:34:05,10%
2023-12-09 14:34:06,10%
2023-12-09 14:34:07,10%
2023-12-09 14:34:08,10%
2023-12-09 14:34:09,10%
2023-12-09 14:34:10,10%
2023-12-09 14:34:11,10%
2023-12-09 14:34:12,10%
2023-12-09 14:34:13,0%
2023-12-09 14:34:14,10%
2023-12-09 14:34:15,0%
2023-12-09 14:34:16,10%
2023-12-09 14:34:17,0%
2023-12-09 14:34:18,0%
2023-12-09 14:34:19,0%
2023-12-09 14:34:20,10%
2023-12-09 14:34:21,0%
2023-12-09 14:34:22,10%
2023-12-09 14:34:23,0%
2023-12-09 14:34:24,10%
2023-12-09 14:34:25,0%
2023-12-09 14:34:26,10%
2023-12-09 14:34:27,0%
2023-12-09 14:34:28,10%
2023-12-09 14:34:29,0%
2023-12-09 14:34:30,10%
2023-12-09 14:34:31,0%
2023-12-09 14:34:32,10%
2023-12-09 14:34:33,0%
2023-12-09 14:34:34,10%
2023-12-09 14:34:35,0%
2023-12-09 14:34:36,10%
2023-12-09 14:34:37,0%
2023-12-09 14:34:38,10%
2023-12-09 14:34:39,0%
2023-12-09 14:34:40,10%
2023-12-09 14:34:41,0%
2023-12-09 14:34:42,10%
2023-12-09 14:34:43,0%
2023-12-09 14:34:44,10%
2023-12-09 14:34:45,0%
2023-12-09 14:34:46,10%
2023-12-09 14:34:47,10%
2023-12-09 14:34:48,10%
2023-12-09 14:34:49,0%
2023-12-09 14:34:50,0%
2023-12-09 14:34:51,0%
2023-12-09 14:34:52,10%
2023-12-09 14:34:53,0%
2023-12-09 14:34:54,10%
2023-12-09 14:34:55,0%
2023-12-09 14:34:56,10%
2023-12-09 14:34:57,0%
2023-12-09 14:34:58,10%
2023-12-09 14:34:59,0%
2023-12-09 14:35:00,0%
2023-12-09 14:35:01,10%
2023-12-09 14:35:02,10%
2023-12-09 14:35:03,0%
2023-12-09 14:35:04,0%
2023-12-09 14:35:05,10%
2023-12-09 14:35:06,10%
2023-12-09 14:35:07,0%
2023-12-09 14:35:08,0%
2023-12-09 14:35:09,10%
2023-12-09 14:35:10,10%
2023-12-09 14:35:11,0%
2023-12-09 14:35:12,20%
2023-12-09 14:35:13,20%
2023-12-09 14:35:14,20%
2023-12-09 14:35:15,20%
2023-12-09 14:35:16,20%
2023-12-09 14:35:17,20%
2023-12-09 14:35:18,20%
2023-12-09 14:35:19,20%
2023-12-09 14:35:20,20%
2023-12-09 14:35:21,20%
2023-12-09 14:35:22,20%
2023-12-09 14:35:23,20%
2023-12-09 14:35:24,20%
2023-12-09 14:35:25,20%
2023-12-09 14:35:26,20%
2023-12-09 14:35:27,20%
2023-12-09 14:35:28,20%
2023-12-09 14:35:29,20%
2023-12-09 14:35:30,20%
2023-12-09 14:35:31,20%
2023-12-09 14:35:32,20%
2023-12-09 14:35:33,20%
2023-12-09 14:35:34,20%
2023-12-09 14:35:35,20%
2023-12-09 14:35:36,20%
2023-12-09 14:35:37,20%
2023-12-09 14:35:38,20%
2023-12-09 14:35:39,20%
2023-12-09 14:35:40,20%
2023-12-09 14:35:41,20%
2023-12-09 14:35:42,10%
2023-12-09 14:35:43,10%
2023-12-09 14:35:44,10%
2023-12-09 14:35:45,10%
2023-12-09 14:35:46,10%
2023-12-09 14:35:47,10%
2023-12-09 14:35:48,10%
2023-12-09 14:35:49,10%
2023-12-09 14:35:50,10%
2023-12-09 14:35:51,10%
2023-12-09 14:35:52,10%
2023-12-09 14:35:53,10%
2023-12-09 14:35:54,10%
2023-12-09 14:35:55,10%
2023-12-09 14:35:56,10%
2023-12-09 14:35:57,10%
2023-12-09 14:35:58,10%
2023-12-09 14:35:59,10%
2023-12-09 14:36:00,10%
2023-12-09 14:36:01,10%
2023-12-09 14:36:02,10%
2023-12-09 14:36:03,10%
2023-12-09 14:36:04,10%
2023-12-09 14:36:05,10%
2023-12-09 14:36:06,10%
2023-12-09 14:36:07,10%
2023-12-09 14:36:08,10%
2023-12-09 14:36:09,10%
2023-12-09 14:36:10,10%
2023-12-09 14:36:11,10%
2023-12-09 14:36:12,10%
2023-12-09 14:36:13,10%
2023-12-09 14:36:14,10%
2023-12-09 14:36:15,10%
2023-12-09 14:36:16,10%
2023-12-09 14:36:17,10%
2023-12-09 14:36:18,10%
2023-12-09 14:36:19,10%
2023-12-09 14:36:20,10%
2023-12-09 14:36:21,10%
2023-12-09 14:36:22,10%
2023-12-09 14:36:23,10%
2023-12-09 14:36:24,10%
2023-12-09 14:36:25,10%
2023-12-09 14:36:26,10%
2023-12-09 14:36:27,10%
2023-12-09 14:36:28,10%
2023-12-09 14:36:29,10%
2023-12-09 14:36:30,10%
2023-12-09 14:36:31,10%
2023-12-09 14:36:32,10%
2023-12-09 14:36:33,10%
2023-12-09 14:36:34,10%
2023-12-09 14:36:35,10%
2023-12-09 14:36:36,10%
2023-12-09 14:36:37,10%
2023-12-09 14:36:38,10%
2023-12-09 14:36:39,10%
2023-12-09 14:36:40,10%
2023-12-09 14:36:41,10%
2023-12-09 14:36:42,10%
2023-12-09 14:36:43,10%
2023-12-09 14:36:44,10%
2023-12-09 14:36:45,10%
2023-12-09 14:36:46,10%
2023-12-09 14:36:47,10%
2023-12-09 14:36:48,10%
2023-12-09 14:36:49,10%
2023-12-09 14:36:50,10%
2023-12-09 14:36:51,10%
2023-12-09 14:36:52,0%
2023-12-09 14:36:53,10%
2023-12-09 14:36:54,0%
2023-12-09 14:36:55,10%
2023-12-09 14:36:56,10%
2023-12-09 14:36:57,10%
2023-12-09 14:36:58,0%
