"datetime","Measured_Illuminance"
2023-11-19 19:05:33,250 lux
2023-11-19 19:05:34,250 lux
2023-11-19 19:05:35,250 lux
2023-11-19 19:05:36,250 lux
2023-11-19 19:05:37,250 lux
2023-11-19 19:05:38,250 lux
2023-11-19 19:05:39,250 lux
2023-11-19 19:05:40,250 lux
2023-11-19 19:05:41,250 lux
2023-11-19 19:05:42,250 lux
2023-11-19 19:05:43,250 lux
2023-11-19 19:05:44,250 lux
2023-11-19 19:05:45,250 lux
2023-11-19 19:05:46,250 lux
2023-11-19 19:05:47,250 lux
2023-11-19 19:05:48,250 lux
2023-11-19 19:05:49,250 lux
2023-11-19 19:05:50,250 lux
2023-11-19 19:05:51,240 lux
2023-11-19 19:05:52,240 lux
2023-11-19 19:05:53,240 lux
2023-11-19 19:05:54,230 lux
2023-11-19 19:05:55,230 lux
2023-11-19 19:05:56,230 lux
2023-11-19 19:05:57,220 lux
2023-11-19 19:05:58,220 lux
2023-11-19 19:05:59,220 lux
2023-11-19 19:06:00,210 lux
2023-11-19 19:06:01,210 lux
2023-11-19 19:06:02,210 lux
2023-11-19 19:06:03,200 lux
2023-11-19 19:06:04,200 lux
2023-11-19 19:06:05,200 lux
2023-11-19 19:06:06,190 lux
2023-11-19 19:06:07,190 lux
2023-11-19 19:06:08,190 lux
2023-11-19 19:06:09,180 lux
2023-11-19 19:06:10,180 lux
2023-11-19 19:06:11,180 lux
2023-11-19 19:06:12,170 lux
2023-11-19 19:06:13,170 lux
2023-11-19 19:06:14,170 lux
2023-11-19 19:06:15,160 lux
2023-11-19 19:06:16,160 lux
2023-11-19 19:06:17,160 lux
2023-11-19 19:06:18,150 lux
2023-11-19 19:06:19,150 lux
2023-11-19 19:06:20,150 lux
2023-11-19 19:06:21,140 lux
2023-11-19 19:06:22,140 lux
2023-11-19 19:06:23,140 lux
2023-11-19 19:06:24,130 lux
2023-11-19 19:06:25,130 lux
2023-11-19 19:06:26,130 lux
2023-11-19 19:06:27,120 lux
2023-11-19 19:06:28,120 lux
2023-11-19 19:06:29,120 lux
2023-11-19 19:06:30,120 lux
2023-11-19 19:06:31,120 lux
2023-11-19 19:06:32,120 lux
2023-11-19 19:06:33,120 lux
2023-11-19 19:06:34,120 lux
2023-11-19 19:06:35,120 lux
2023-11-19 19:06:36,120 lux
2023-11-19 19:06:37,120 lux
2023-11-19 19:06:38,120 lux
