"datetime","Measured_Illuminance"
2023-12-09 14:31:45,100 lux
2023-12-09 14:31:46,150 lux
2023-12-09 14:31:47,150 lux
2023-12-09 14:31:48,200 lux
2023-12-09 14:31:49,250 lux
2023-12-09 14:31:50,300 lux
2023-12-09 14:31:51,350 lux
2023-12-09 14:31:52,400 lux
2023-12-09 14:31:53,450 lux
2023-12-09 14:31:54,450 lux
2023-12-09 14:31:55,550 lux
2023-12-09 14:31:56,500 lux
2023-12-09 14:31:57,500 lux
2023-12-09 14:31:58,500 lux
2023-12-09 14:31:59,500 lux
2023-12-09 14:32:00,500 lux
2023-12-09 14:32:01,500 lux
2023-12-09 14:32:02,500 lux
2023-12-09 14:32:03,500 lux
2023-12-09 14:32:04,500 lux
2023-12-09 14:32:05,500 lux
2023-12-09 14:32:06,500 lux
2023-12-09 14:32:07,500 lux
2023-12-09 14:32:08,500 lux
2023-12-09 14:32:09,500 lux
2023-12-09 14:32:10,500 lux
2023-12-09 14:32:11,500 lux
2023-12-09 14:32:12,500 lux
2023-12-09 14:32:13,500 lux
2023-12-09 14:32:14,500 lux
2023-12-09 14:32:15,500 lux
2023-12-09 14:32:16,500 lux
2023-12-09 14:32:17,500 lux
2023-12-09 14:32:18,500 lux
2023-12-09 14:32:19,500 lux
2023-12-09 14:32:20,500 lux
2023-12-09 14:32:21,500 lux
2023-12-09 14:32:22,500 lux
2023-12-09 14:32:23,500 lux
2023-12-09 14:32:24,500 lux
2023-12-09 14:32:25,500 lux
2023-12-09 14:32:26,500 lux
2023-12-09 14:32:27,500 lux
2023-12-09 14:32:28,500 lux
2023-12-09 14:32:29,500 lux
2023-12-09 14:32:30,500 lux
2023-12-09 14:32:31,500 lux
2023-12-09 14:32:32,500 lux
2023-12-09 14:32:33,500 lux
2023-12-09 14:32:34,500 lux
2023-12-09 14:32:35,500 lux
2023-12-09 14:32:36,500 lux
2023-12-09 14:32:37,500 lux
2023-12-09 14:32:38,500 lux
2023-12-09 14:32:39,500 lux
2023-12-09 14:32:40,500 lux
2023-12-09 14:32:41,500 lux
2023-12-09 14:32:42,500 lux
2023-12-09 14:32:43,500 lux
2023-12-09 14:32:44,500 lux
2023-12-09 14:32:45,500 lux
2023-12-09 14:32:46,500 lux
2023-12-09 14:32:47,500 lux
2023-12-09 14:32:48,500 lux
2023-12-09 14:32:49,500 lux
2023-12-09 14:32:50,500 lux
