"datetime","Measured_Temperature"
2023-12-09 14:31:46,15.29 °C
2023-12-09 14:31:47,15.36 °C
2023-12-09 14:31:48,15.44 °C
2023-12-09 14:31:49,15.53 °C
2023-12-09 14:31:50,15.62 °C
2023-12-09 14:31:51,15.71 °C
2023-12-09 14:31:52,15.79 °C
2023-12-09 14:31:53,15.88 °C
2023-12-09 14:31:54,15.97 °C
2023-12-09 14:31:55,16.06 °C
2023-12-09 14:31:56,16.12 °C
2023-12-09 14:31:57,16.18 °C
2023-12-09 14:31:58,16.25 °C
2023-12-09 14:31:59,16.31 °C
2023-12-09 14:32:00,16.37 °C
2023-12-09 14:32:01,16.44 °C
2023-12-09 14:32:02,16.50 °C
2023-12-09 14:32:03,16.56 °C
2023-12-09 14:32:04,16.62 °C
2023-12-09 14:32:05,16.69 °C
2023-12-09 14:32:06,16.75 °C
2023-12-09 14:32:07,16.81 °C
2023-12-09 14:32:08,16.87 °C
2023-12-09 14:32:09,16.94 °C
2023-12-09 14:32:10,17.00 °C
2023-12-09 14:32:11,17.06 °C
2023-12-09 14:32:12,17.10 °C
2023-12-09 14:32:13,17.14 °C
2023-12-09 14:32:14,17.18 °C
2023-12-09 14:32:15,17.21 °C
2023-12-09 14:32:16,17.25 °C
2023-12-09 14:32:17,17.29 °C
2023-12-09 14:32:18,17.33 °C
2023-12-09 14:32:19,17.37 °C
2023-12-09 14:32:20,17.40 °C
2023-12-09 14:32:21,17.44 °C
2023-12-09 14:32:22,17.48 °C
2023-12-09 14:32:23,17.52 °C
2023-12-09 14:32:24,17.55 °C
2023-12-09 14:32:25,17.59 °C
2023-12-09 14:32:26,17.63 °C
2023-12-09 14:32:27,17.67 °C
2023-12-09 14:32:28,17.70 °C
2023-12-09 14:32:29,17.74 °C
2023-12-09 14:32:30,17.78 °C
2023-12-09 14:32:31,17.82 °C
2023-12-09 14:32:32,17.85 °C
2023-12-09 14:32:33,17.89 °C
2023-12-09 14:32:34,17.93 °C
2023-12-09 14:32:35,17.97 °C
2023-12-09 14:32:36,18.00 °C
2023-12-09 14:32:37,18.04 °C
2023-12-09 14:32:38,18.08 °C
2023-12-09 14:32:39,18.12 °C
2023-12-09 14:32:40,18.16 °C
2023-12-09 14:32:41,18.19 °C
2023-12-09 14:32:42,18.23 °C
2023-12-09 14:32:43,18.27 °C
2023-12-09 14:32:44,18.31 °C
2023-12-09 14:32:45,18.34 °C
2023-12-09 14:32:46,18.38 °C
2023-12-09 14:32:47,18.42 °C
2023-12-09 14:32:48,18.46 °C
2023-12-09 14:32:49,18.49 °C
2023-12-09 14:32:50,18.53 °C
2023-12-09 14:32:51,18.57 °C
2023-12-09 14:32:52,18.61 °C
2023-12-09 14:32:53,18.64 °C
2023-12-09 14:32:54,18.68 °C
2023-12-09 14:32:55,18.72 °C
2023-12-09 14:32:56,18.76 °C
2023-12-09 14:32:57,18.79 °C
2023-12-09 14:32:58,18.83 °C
2023-12-09 14:32:59,18.87 °C
2023-12-09 14:33:00,18.91 °C
2023-12-09 14:33:01,18.95 °C
2023-12-09 14:33:02,18.98 °C
2023-12-09 14:33:03,19.02 °C
2023-12-09 14:33:04,19.04 °C
2023-12-09 14:33:05,19.05 °C
2023-12-09 14:33:06,19.06 °C
2023-12-09 14:33:07,19.08 °C
2023-12-09 14:33:08,19.09 °C
2023-12-09 14:33:09,19.10 °C
2023-12-09 14:33:10,19.11 °C
2023-12-09 14:33:11,19.13 °C
2023-12-09 14:33:12,19.14 °C
2023-12-09 14:33:13,19.15 °C
2023-12-09 14:33:14,19.16 °C
2023-12-09 14:33:15,19.18 °C
2023-12-09 14:33:16,19.19 °C
2023-12-09 14:33:17,19.20 °C
2023-12-09 14:33:18,19.21 °C
2023-12-09 14:33:19,19.23 °C
2023-12-09 14:33:20,19.24 °C
2023-12-09 14:33:21,19.25 °C
2023-12-09 14:33:22,19.27 °C
2023-12-09 14:33:23,19.28 °C
2023-12-09 14:33:24,19.29 °C
2023-12-09 14:33:25,19.30 °C
2023-12-09 14:33:26,19.32 °C
2023-12-09 14:33:27,19.33 °C
2023-12-09 14:33:28,19.34 °C
2023-12-09 14:33:29,19.35 °C
2023-12-09 14:33:30,19.37 °C
2023-12-09 14:33:31,19.38 °C
2023-12-09 14:33:32,19.39 °C
2023-12-09 14:33:33,19.40 °C
2023-12-09 14:33:34,19.42 °C
2023-12-09 14:33:35,19.43 °C
2023-12-09 14:33:36,19.44 °C
2023-12-09 14:33:37,19.45 °C
2023-12-09 14:33:38,19.47 °C
2023-12-09 14:33:39,19.48 °C
2023-12-09 14:33:40,19.49 °C
2023-12-09 14:33:41,19.51 °C
2023-12-09 14:33:42,19.52 °C
2023-12-09 14:33:43,19.53 °C
2023-12-09 14:33:44,19.54 °C
2023-12-09 14:33:45,19.56 °C
2023-12-09 14:33:46,19.57 °C
2023-12-09 14:33:47,19.58 °C
2023-12-09 14:33:48,19.59 °C
2023-12-09 14:33:49,19.61 °C
2023-12-09 14:33:50,19.62 °C
2023-12-09 14:33:51,19.63 °C
2023-12-09 14:33:52,19.64 °C
2023-12-09 14:33:53,19.66 °C
2023-12-09 14:33:54,19.67 °C
2023-12-09 14:33:55,19.68 °C
2023-12-09 14:33:56,19.70 °C
2023-12-09 14:33:57,19.71 °C
2023-12-09 14:33:58,19.72 °C
2023-12-09 14:33:59,19.73 °C
2023-12-09 14:34:00,19.75 °C
2023-12-09 14:34:01,19.76 °C
2023-12-09 14:34:02,19.77 °C
2023-12-09 14:34:03,19.78 °C
2023-12-09 14:34:04,19.80 °C
2023-12-09 14:34:05,19.81 °C
2023-12-09 14:34:06,19.82 °C
2023-12-09 14:34:07,19.83 °C
2023-12-09 14:34:08,19.85 °C
2023-12-09 14:34:09,19.86 °C
2023-12-09 14:34:10,19.87 °C
2023-12-09 14:34:11,19.88 °C
2023-12-09 14:34:12,19.90 °C
2023-12-09 14:34:13,19.91 °C
2023-12-09 14:34:14,19.90 °C
2023-12-09 14:34:15,19.91 °C
2023-12-09 14:34:16,19.90 °C
2023-12-09 14:34:17,19.91 °C
2023-12-09 14:34:18,19.92 °C
2023-12-09 14:34:19,19.92 °C
2023-12-09 14:34:20,19.90 °C
2023-12-09 14:34:21,19.91 °C
2023-12-09 14:34:22,19.90 °C
2023-12-09 14:34:23,19.91 °C
2023-12-09 14:34:24,19.90 °C
2023-12-09 14:34:25,19.91 °C
2023-12-09 14:34:26,19.90 °C
2023-12-09 14:34:27,19.91 °C
2023-12-09 14:34:28,19.90 °C
2023-12-09 14:34:29,19.91 °C
2023-12-09 14:34:30,19.90 °C
2023-12-09 14:34:31,19.91 °C
2023-12-09 14:34:32,19.90 °C
