"datetime","Measured_Temperature"
2023-11-19 19:05:27,18.97 °C
2023-11-19 19:05:29,18.97 °C
2023-11-19 19:05:31,18.97 °C
2023-11-19 19:05:33,18.97 °C
2023-11-19 19:05:35,18.97 °C
2023-11-19 19:05:37,18.97 °C
2023-11-19 19:05:39,18.97 °C
2023-11-19 19:05:41,18.97 °C
2023-11-19 19:05:43,18.97 °C
2023-11-19 19:05:45,18.97 °C
2023-11-19 19:05:49,18.77 °C
2023-11-19 19:05:51,18.37 °C
2023-11-19 19:05:54,17.97 °C
2023-11-19 19:05:55,17.57 °C
2023-11-19 19:05:57,17.17 °C
2023-11-19 19:05:59,16.77 °C
2023-11-19 19:06:01,16.37 °C
2023-11-19 19:06:03,15.97 °C
2023-11-19 19:06:05,15.57 °C
2023-11-19 19:06:07,15.17 °C
2023-11-19 19:06:09,14.97 °C
2023-11-19 19:06:11,14.97 °C
2023-11-19 19:06:13,14.97 °C
2023-11-19 19:06:15,14.97 °C
2023-11-19 19:06:17,14.97 °C
2023-11-19 19:06:19,14.97 °C
2023-11-19 19:06:21,14.97 °C
2023-11-19 19:06:23,14.97 °C
2023-11-19 19:06:25,14.97 °C
2023-11-19 19:06:27,14.97 °C
2023-11-19 19:06:29,14.97 °C
2023-11-19 19:06:31,14.97 °C
2023-11-19 19:06:33,14.97 °C
2023-11-19 19:06:35,14.97 °C
2023-11-19 19:06:37,14.97 °C
2023-11-19 19:06:39,14.97 °C
2023-11-19 19:06:41,14.97 °C
2023-11-19 19:06:43,14.97 °C
2023-11-19 19:06:45,14.97 °C
2023-11-19 19:06:47,14.97 °C
2023-11-19 19:06:49,14.97 °C
2023-11-19 19:06:51,15.17 °C
2023-11-19 19:06:53,15.57 °C
2023-11-19 19:06:55,15.97 °C
2023-11-19 19:06:57,16.17 °C
2023-11-19 19:06:59,16.17 °C
2023-11-19 19:07:01,16.17 °C
2023-11-19 19:07:04,16.17 °C
2023-11-19 19:07:05,16.17 °C
2023-11-19 19:07:07,16.17 °C
2023-11-19 19:07:10,16.17 °C
2023-11-19 19:07:11,16.17 °C
2023-11-19 19:07:13,16.17 °C
2023-11-19 19:07:15,16.37 °C
2023-11-19 19:07:18,16.77 °C
2023-11-19 19:07:19,17.17 °C
2023-11-19 19:07:21,17.17 °C
2023-11-19 19:07:23,17.17 °C
2023-11-19 19:07:25,17.17 °C
2023-11-19 19:07:27,17.17 °C
2023-11-19 19:07:29,17.17 °C
2023-11-19 19:07:32,12.17 °C
2023-11-19 19:07:33,12.37 °C
2023-11-19 19:07:35,12.77 °C
2023-11-19 19:07:37,13.17 °C
2023-11-19 19:07:39,13.57 °C
2023-11-19 19:07:41,13.97 °C
2023-11-19 19:07:43,14.37 °C
2023-11-19 19:07:45,14.77 °C
2023-11-19 19:07:47,15.17 °C
2023-11-19 19:07:49,15.57 °C
2023-11-19 19:07:51,15.97 °C
2023-11-19 19:07:53,16.37 °C
2023-11-19 19:07:56,16.77 °C
2023-11-19 19:07:57,17.17 °C
2023-11-19 19:07:59,17.17 °C
2023-11-19 19:08:01,17.17 °C
2023-11-19 19:08:03,17.17 °C
2023-11-19 19:08:05,17.17 °C
2023-11-19 19:08:07,17.17 °C
2023-11-19 19:08:09,17.17 °C
2023-11-19 19:08:11,22.17 °C
2023-11-19 19:08:13,21.97 °C
2023-11-19 19:08:15,21.57 °C
2023-11-19 19:08:18,21.17 °C
2023-11-19 19:08:19,20.77 °C
2023-11-19 19:08:21,20.37 °C
2023-11-19 19:08:23,19.97 °C
2023-11-19 19:08:25,19.57 °C
2023-11-19 19:08:27,19.17 °C
2023-11-19 19:08:29,18.77 °C
2023-11-19 19:08:31,18.37 °C
2023-11-19 19:08:33,17.97 °C
2023-11-19 19:08:35,17.57 °C
2023-11-19 19:08:37,17.17 °C
2023-11-19 19:08:39,16.97 °C
2023-11-19 19:08:41,16.97 °C
2023-11-19 19:08:43,16.97 °C
2023-11-19 19:08:45,16.97 °C
2023-11-19 19:08:47,16.97 °C
